Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
tajikistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,291,678,829,569,"1,052","1,121","1,320","1,087",991,"1,057","1,212","1,555","2,073","2,311","2,811","3,712","5,135","4,977","5,642","6,523","7,592","8,506","9,242","7,857","6,994","7,535","7,762","8,301","8,134","8,934","10,493","11,854","13,544","14,836","16,084","17,492","18,968","20,570"
tanzania,"1,906","2,039","2,321","2,770","3,326","3,829","4,147","4,955","5,934","6,282","10,873","13,005","14,932","15,294","13,915","12,556","15,874","7,821","7,474","6,444","5,172","6,019","5,588","5,170","5,478","6,382","7,889","9,341","11,481","11,777","12,369","12,610","13,123","14,159","15,576","17,174","18,878","21,810","27,779","29,301","31,860","34,369","39,650","45,677","49,982","47,424","49,774","54,000","54,775","58,797","63,373","67,964","74,173","79,138","80,171","85,977","93,523","102,391","112,264","123,055"
thailand,"7,374","7,676","8,509","11,280","14,261","15,489","17,677","20,585","24,984","28,483","33,422","35,999","37,799","41,366","43,179","40,185","44,520","52,204","63,704","74,637","88,467","101,247","115,576","128,889","146,684","169,279","183,035","150,180","113,676","126,669","126,392","120,296","134,301","152,281","172,896","189,318","221,758","262,943","291,383","281,711","341,105","370,819","397,558","420,334","407,339","401,296","413,366","456,357","506,754","543,977","500,462","506,195","495,645","515,906","526,411","546,224","556,756","573,857","593,755","616,061"
timor-leste,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,477,470,490,441,462,454,543,648,727,882,"1,042","1,160","1,396","1,448","1,590","1,640","1,585","1,556","2,033","2,163","3,625","3,209","2,080","2,015","2,115","2,246","2,338","2,483","2,634"
togo,265,298,347,406,543,599,570,687,851,"1,016","1,994","1,656","1,396","1,330","1,222","1,281","1,795","2,107","2,345","2,302","2,772","2,740","2,873","2,189","1,697","2,240","2,448","2,494","2,361","2,370","2,014","2,000","2,301","2,854","3,048","3,080","3,173","3,760","4,578","4,717","4,750","5,421","5,417","6,022","6,395","5,756","6,069","6,385","7,033","6,993","7,400","8,338","8,144","9,081","9,776","10,023","10,760","11,570","12,443","13,392"
tonga,17,19,23,34,46,43,39,45,54,58,71,79,79,77,81,76,90,98,115,139,144,169,178,183,189,207,218,222,212,197,203,181,183,202,231,262,292,299,344,312,367,415,427,452,441,438,421,460,481,494,503,520,515,512,539,568,591,617,640,662
trinidad and tobago,822,897,"1,084","1,309","2,042","2,443","2,501","3,139","3,563","4,603","6,343","7,113","8,280","7,898","7,891","7,503","4,877","4,880","4,574","4,397","5,155","5,399","5,533","4,656","5,032","5,421","5,859","5,837","6,148","6,926","8,295","8,960","9,148","11,464","13,472","16,170","18,600","21,937","28,193","19,520","22,522","25,789","27,147","28,561","29,474","26,841","23,624","23,848","23,889","23,588","20,991","24,177","28,510","25,489","25,524","26,467","26,885","27,439","28,421","29,412"
tunisia,"1,588","1,859","2,468","3,012","3,912","4,775","4,973","5,637","6,584","7,930","9,566","9,223","8,900","9,202","9,054","9,245","9,910","10,663","11,073","11,069","14,133","14,897","17,809","16,724","17,886","20,616","22,324","21,762","22,870","24,066","22,524","23,146","24,274","28,797","32,710","33,851","36,059","40,819","47,039","45,593","46,210","48,122","47,311","48,681","50,273","45,779","44,360","42,167","42,687","41,905","42,494","46,813","44,596","48,541","53,063","56,291","57,875","58,656","59,967","61,078"
turkey,"24,444","23,057","28,975","36,385","50,191","62,735","71,763","81,839","90,347","123,319","96,596","97,865","88,918","84,968","82,642","92,827","102,337","118,926","125,032","147,727","207,508","208,402","219,176","248,573","179,359","233,566","250,486","261,857","277,599","254,024","273,118","202,558","238,150","316,540","407,024","504,800","552,332","682,992","782,851","651,513","777,443","837,924","877,681","958,088","939,924","867,054","869,204","859,020","797,707","760,388","717,114","807,893","905,800","1,130,062","1,322,405","1,437,406","1,401,458","1,475,475","1,585,498","1,682,488"
turkmenistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1,625","9,169","7,765","10,043","4,068","4,584","4,893","6,595","8,587","11,855","14,875","19,533","24,272","29,363","36,577","44,388","36,788","34,562","35,164","44,413","50,252","50,863","56,204","44,944","42,876","45,902","49,299","53,035","52,385","60,934","77,963","77,876","82,515","89,054","97,017","106,069","116,075","127,144"
tuvalu,3,3,3,4,4,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,14,17,20,23,23,24,29,32,28,33,40,39,39,39,37,41,45,48,54,52,62,61,63,65,65,67,70,73,76
uganda,"1,316","1,456","1,582","1,851","2,242","2,524","2,668","2,876","2,955","2,801","7,486","12,120","8,410","9,619","7,399","6,771","6,746","10,878","11,268","9,136","7,452","3,897","3,645","4,311","6,240","7,473","7,713","8,407","8,230","7,823","7,756","7,835","8,425","8,725","10,750","12,460","14,079","17,512","22,419","24,107","24,683","27,501","30,939","32,331","34,754","30,122","30,232","31,589","34,126","37,895","37,889","42,805","47,276","51,934","56,453","64,277","71,421","78,775","85,883","94,837"
ukraine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22,193","35,025","38,012","38,275","46,083","51,867","43,315","32,661","32,331","37,863","42,339","50,096","64,747","85,996","107,767","143,260","181,313","117,079","136,011","163,059","175,781","183,310","133,392","90,922","93,349","112,064","130,905","153,904","156,566","199,835","161,987","178,763","190,426","205,742","220,408","234,821","250,078","266,307"
united arab emirates,"1,053","1,443","2,173","4,213","11,617","14,721","19,213","24,872","23,776","31,226","41,725","46,461","43,205","39,588","39,245","38,519","30,526","33,519","34,069","39,325","50,682","49,300","51,952","52,144","57,395","63,432","72,853","77,167","75,304","84,420","102,987","103,312","109,816","124,346","147,812","180,616","222,117","257,883","315,464","253,547","300,189","360,833","384,610","400,219","414,105","370,276","369,255","390,517","427,049","417,990","349,473","415,179","502,732","514,130","537,079","548,598","577,424","614,689","654,065","695,217"
united kingdom,"124,970","141,314","162,369","183,201","197,882","236,514","227,217","256,596","325,244","422,476","604,697","588,342","559,326","532,925","504,939","537,200","655,035","814,102","989,706","1,007,623","1,197,021","1,248,625","1,289,587","1,155,162","1,241,720","1,344,504","1,421,099","1,561,239","1,653,852","1,688,248","1,668,690","1,650,252","1,788,549","2,056,294","2,422,619","2,546,038","2,712,257","3,091,695","2,960,390","2,421,476","2,487,924","2,664,719","2,707,571","2,786,665","3,066,304","2,928,558","2,699,086","2,682,384","2,875,024","2,853,074","2,698,705","3,144,079","3,125,404","3,371,118","3,644,636","3,839,180","4,040,844","4,239,513","4,457,367","4,701,933"
united states,"1,024,800","1,113,100","1,225,000","1,369,300","1,485,900","1,623,400","1,809,100","2,013,600","2,276,000","2,543,500","2,857,325","3,207,025","3,343,800","3,634,025","4,037,650","4,339,000","4,579,625","4,855,250","5,236,425","5,641,600","5,963,125","6,158,125","6,520,325","6,858,550","7,287,250","7,639,750","8,073,125","8,577,550","9,062,825","9,631,175","10,250,950","10,581,925","10,929,100","11,456,450","12,217,175","13,039,200","13,815,600","14,474,250","14,769,850","14,478,050","15,048,975","15,599,725","16,253,950","16,880,675","17,608,125","18,295,000","18,804,900","19,612,100","20,656,525","21,539,975","21,354,125","23,681,175","26,006,900","27,720,725","29,184,900","30,507,217","31,717,641","32,941,710","34,342,132","35,712,824"
uruguay,"2,538","3,049","2,450","3,129","4,334","3,825","4,007","4,488","5,377","7,698","12,217","13,636","11,147","6,119","5,819","5,686","7,059","8,832","9,137","9,630","11,204","13,502","15,515","18,064","21,040","23,267","24,730","26,155","27,704","26,178","24,892","22,802","14,863","13,159","14,959","18,986","21,416","25,603","33,151","34,565","43,967","52,354","55,938","62,857","62,546","58,218","57,580","65,068","65,370","62,229","53,557","60,742","70,600","77,997","80,961","79,731","85,164","90,702","96,223","101,236"
uzbekistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4,476","6,897","8,175","12,746","17,453","18,433","18,738","21,362","17,195","14,581","12,106","12,697","15,045","17,939","21,344","27,963","35,858","41,945","49,772","60,213","67,520","73,192","80,848","85,662","85,658","69,703","58,696","67,294","66,443","77,340","90,125","102,634","114,962","132,484","148,177","164,155","181,768","201,530"
vanuatu,38,41,55,67,67,81,78,82,100,132,121,114,114,117,144,132,128,139,158,154,169,201,209,200,234,249,261,273,262,268,272,257,262,315,365,390,435,517,582,590,652,738,736,755,775,774,798,880,928,930,"1,008",921,"1,072","1,158","1,206","1,267","1,335","1,400","1,463","1,529"
venezuela,"13,830","15,190","16,730","19,926","30,530","32,125","36,751","42,355","45,987","56,508","69,841","78,367","79,998","79,672","57,826","59,865","60,877","46,854","60,378","44,672","48,391","53,382","60,400","59,865","58,357","77,427","70,536","85,684","91,836","97,517","117,596","123,119","95,258","83,684","112,254","143,375","178,521","232,857","306,764","268,624","318,281","316,482","372,592","258,931","214,690","125,449","112,915","115,883","102,021","73,014","42,838","56,615","89,013","102,377","119,808","108,511","101,020","101,020","101,020","101,020"
vietnam,"2,775","3,024","3,237","3,350","3,605","3,896","4,541","5,413","6,532","7,140","35,357","17,617","23,369","35,204","61,171","19,045","43,009","53,385","29,501","7,991","8,217","9,704","12,528","16,736","20,712","26,407","31,352","34,146","34,580","36,444","39,585","41,297","44,563","50,233","62,877","73,197","84,301","98,426","124,756","129,022","143,212","171,312","195,169","212,728","232,888","236,795","252,146","277,071","304,470","331,818","346,310","370,076","411,068","433,008","459,472","490,970","518,999","553,437","589,412","626,910"
palestine,177,204,295,368,577,579,680,700,728,846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2,843","3,283","3,410","3,760","4,068","4,271","4,314","4,004","3,556","3,968","4,603","5,126","5,348","5,816","7,310","8,086","9,682","11,186","12,208","13,516","13,990","13,972","15,405","16,128","16,277","17,134","15,532","18,109","19,166","17,848","17,848","17,848","17,848","17,848","17,848","17,848"
yemen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12,644","14,665","17,959","21,737","28,019","12,796","6,496","6,838","6,322","7,639","9,679","9,853","10,693","11,778","13,868","16,732","19,063","21,651","26,911","25,130","30,907","32,726","35,401","40,415","43,229","42,444","31,318","26,842","21,606","21,888","20,220","19,394","23,534","19,412","19,101","17,401","17,285","18,762","21,713","23,602"
zambia,"1,544","1,574","1,852","2,350","2,895","2,658","2,814","2,767","3,098","3,827","4,246","4,385","4,232","3,653","3,003","2,848","1,962","2,431","4,095","4,365","4,085","3,690","3,614","3,549","3,657","3,799","3,599","4,303","3,538","3,405","3,601","3,870","4,194","4,902","6,221","8,329","12,762","14,060","17,914","15,332","20,264","23,455","25,502","28,042","27,145","21,245","20,965","25,874","26,312","23,309","18,138","22,096","29,164","27,578","26,326","28,910","34,237","40,161","43,668","47,092"
zimbabwe,"2,023","2,339","2,888","3,552","4,274","4,692","4,637","4,683","4,686","5,559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10,143","9,450","7,793","7,569","7,959","8,263","10,117","10,386","12,099","11,768","11,340","11,243","10,734","9,573","9,465","9,045","8,141","7,784","6,707","9,666","12,042","14,102","17,115","19,091","19,496","19,963","20,549","22,040","36,922","26,033","26,878","36,016","32,613","35,144","35,224","38,172","39,491","40,925","42,340","43,836"
