Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
cameroon,"1,157","1,297","1,673","2,272","2,427","3,187","3,473","4,062","5,347","7,116","8,850","10,026","9,616","9,692","10,243","10,698","13,945","16,152","16,403","14,626","14,641","16,325","14,963","15,611","10,622","10,075","11,227","11,352","11,338","11,553","10,245","10,950","12,369","15,944","18,803","19,534","20,912","23,931","27,712","27,903","27,530","30,626","30,174","33,729","36,396","32,213","33,805","36,086","39,992","39,673","40,863","45,036","44,442","49,283","52,784","56,011","60,213","64,485","69,281","74,447"
canada,"86,303","97,475","111,031","128,945","157,498","170,692","202,829","207,789","214,677","238,664","276,064","307,246","314,639","341,863","356,728","366,184","379,015","433,140","509,380","567,225","596,089","612,514","594,376","579,059","579,913","605,941","630,598","655,010","634,004","678,417","744,631","738,968","760,149","895,599","1,026,473","1,173,505","1,319,356","1,468,896","1,552,864","1,376,509","1,617,345","1,793,327","1,828,362","1,846,595","1,805,751","1,556,508","1,527,996","1,649,266","1,725,300","1,743,725","1,655,685","2,022,382","2,190,411","2,173,340","2,241,253","2,225,341","2,332,563","2,435,529","2,542,339","2,657,894"
central african republic,264,281,321,378,392,528,629,708,852,977,714,743,719,690,670,883,"1,158","1,275","1,372","1,354","1,572","1,498","1,494","1,309",858,"1,117","1,000",979,"1,036","1,039",868,899,983,"1,188","1,310","1,413","1,538","1,755","2,033","2,059","2,141","2,435","2,512","1,692","1,896","1,696","1,825","2,072","2,280","2,279","2,389","2,585","2,460","2,602","2,831","2,932","3,187","3,547","3,764","4,010"
chad,414,452,469,521,607,876,823,832,991,894,958,"1,133","1,095","1,096","1,177","1,275","1,570","1,780","2,081","1,966","2,369","2,347","2,446","2,138","1,732","2,123","2,360","2,268","2,561","2,256","2,039","2,512","2,928","4,025","6,490","8,660","9,710","10,867","13,384","12,304","14,070","16,682","17,904","17,866","18,149","14,561","13,023","13,344","15,334","14,906","14,954","16,881","17,867","18,343","19,078","18,792","19,732","20,675","21,769","22,898"
chile,"9,559","11,443","12,354","17,611","17,069","7,941","10,843","14,699","16,940","22,806","29,032","34,374","25,630","20,819","20,246","17,360","18,662","22,010","25,947","29,889","33,231","38,249","46,597","49,855","57,517","74,119","78,575","85,730","81,996","75,596","78,250","71,517","70,295","76,508","99,079","122,315","153,840","172,565","179,663","171,794","217,105","251,225","267,165","277,218","259,394","242,515","249,306","276,357","295,428","278,040","254,060","315,411","301,270","335,627","330,210","343,823","357,690","373,212","389,242","405,801"
china,"91,039","98,059","111,589","136,071","141,529","160,340","150,854","171,467","214,160","263,190","303,550","289,215","285,139","306,013","314,832","310,709","301,471","328,305","409,363","458,985","397,359","415,946","495,515","621,918","566,297","737,654","868,770","967,886","1,035,510","1,101,134","1,220,337","1,351,372","1,486,618","1,680,942","1,978,937","2,325,515","2,797,286","3,612,210","4,653,314","5,176,180","6,138,992","7,624,861","8,682,939","9,782,784","10,701,415","11,307,226","11,448,003","12,503,299","14,110,963","14,572,410","15,103,357","18,190,803","18,307,816","18,270,351","18,748,009","19,231,705","20,375,858","21,706,811","23,102,978","24,454,647"
colombia,"10,193","11,062","12,282","14,531","17,462","18,508","21,674","27,519","32,864","39,497","46,501","50,661","54,252","53,920","53,257","48,581","48,648","50,640","54,592","55,048","56,071","57,954","68,579","77,721","97,665","110,564","116,130","127,490","117,725","103,132","99,270","97,606","97,353","94,072","116,382","145,600","161,793","206,230","242,504","232,469","286,499","334,966","370,692","382,094","381,241","293,493","282,720","311,890","334,124","323,055","270,348","318,525","345,632","366,292","418,542","427,766","445,650","466,154","488,083","510,905"
comoros,20,22,26,34,39,60,59,65,85,113,243,213,202,196,189,192,258,313,336,329,402,401,437,428,315,393,392,363,364,372,340,373,427,547,622,656,689,796,916,904,909,"1,023","1,016","1,116","1,150",966,"1,013","1,077","1,179","1,188","1,218","1,273","1,223","1,335","1,456","1,548","1,653","1,754","1,857","1,966"
democratic republic of the congo,"3,000","3,353","3,701","4,719","5,754","6,138","5,786","7,401","10,507","10,297","68,606","59,726","64,939","52,378","34,951","31,943","35,840","33,932","39,314","40,006","41,448","40,250","36,333","47,450","25,746","25,021","32,099","28,819","21,089","19,147","19,077","7,246","8,720","9,022","10,275","12,720","15,403","18,598","22,665","18,626","22,340","26,406","30,074","34,908","38,355","40,154","38,086","39,461","48,037","50,891","49,613","55,327","63,324","64,402","71,011","79,119","84,848","90,631","97,106","103,903"
republic of the congo,262,300,360,480,580,683,709,707,879,"1,194","2,165","1,775","1,548","1,407","1,294","1,327","1,815","2,205","2,346","2,478","2,909","3,035","3,280","3,004","2,068","2,457","2,840","2,568","2,240","2,646","3,624","3,038","3,330","3,863","5,101","6,654","8,073","8,784","11,649","9,713","13,159","15,653","17,704","17,959","17,918","11,891","10,928","11,830","14,781","13,977","11,485","13,387","13,967","14,169","14,893","15,281","16,190","17,290","18,528","19,846"
